Name,Album,Artist,Popular_date,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
Bridge Over Troubled Water,Bridge Over Troubled Water,Simon & Garfunkel,1970,1970-01-26,293120,72,0.149,0.822,0.149,0.206,0.000649,0.115,-13.888,0.0323,79.764,4
(They Long To Be) Close To You,Close To You,Carpenters,1970,1970-01-01,276000,0,0.543,0.669,0.543,0.241,6.27E-05,0.121,-14.59,0.0344,89.078,4
"American Woman - 7"" Single Version",Platinum & Gold Collection,The Guess Who,1970,2003-05-06,231640,51,0.538,0.0424,0.538,0.841,0.00178,0.312,-7.547,0.0375,93.077,4
War - Single Version,Superstar Series Vol. 3,Edwin Starr,1970,1972-01-01,200960,0,0.591,0.0677,0.591,0.781,0.0,0.294,-9.68,0.192,109.481,4
Ain't No Mountain High Enough,Diamond Diana: The Legacy Collection,Diana Ross,1970,2017-11-17,215200,59,0.393,0.191,0.393,0.792,0.00364,0.376,-5.076,0.0448,98.757,4
I'll Be There,Third Album,The Jackson 5,1970,1970-09-08,237760,67,0.51,0.593,0.51,0.515,1.24E-06,0.654,-7.247,0.0253,93.212,4
Get Ready - Single Version,Greatest Hits And Rare Classics,Rare Earth,1970,1991-01-01,166466,30,0.617,0.0244,0.617,0.83,0.0121,0.259,-10.197,0.029,136.786,4
Let It Be - Remastered 2009,Let It Be (Remastered),The Beatles,1970,1970-05-08,243026,78,0.443,0.631,0.443,0.403,0.0,0.111,-8.339,0.0322,143.462,4
Band Of Gold - Re-Record,Band Of Gold (Remix),Freda Payne,1970,2008-01-01,182533,42,0.631,0.451,0.631,0.746,0.0,0.424,-5.439,0.0277,108.875,4
Mama Told Me (Not To Come),The Best Of 3 Dog Night,Three Dog Night,1970,1982-01-01,196933,42,0.678,0.135,0.678,0.621,0.000468,0.207,-13.454,0.0537,120.7,4
Everything Is Beautiful - 1970 #1 Billboard chart hit,Everything Is Beautiful,Ray Stevens,1970,1970,212773,38,0.37,0.514,0.37,0.378,0.0,0.222,-15.178,0.0369,112.159,4
Make It with You,The Best of Bread,Bread,1970,1973-06-01,192200,61,0.629,0.66,0.629,0.356,0.000617,0.173,-11.135,0.0246,83.886,4
Hitchin' a Ride,Rewind the 70s - Volume 2,Various Artists,1970,2013-03-31,176160,27,0.73,0.173,0.73,0.643,0.0,0.177,-11.186,0.0286,130.748,4
ABC,ABC,The Jackson 5,1970,1970-05-08,177733,64,0.715,0.486,0.715,0.678,0.000192,0.15,-11.842,0.0475,94.769,4
The Love You Save,ABC,The Jackson 5,1970,1970-05-08,181426,48,0.755,0.411,0.755,0.713,0.0,0.118,-10.953,0.0513,113.656,4
Cracklin' Rosie - Single Version,Tap Root Manuscript,Neil Diamond,1970,1970,179933,62,0.562,0.319,0.562,0.503,0.0,0.163,-14.836,0.0335,127.827,4
Candida,Candida,Tony Orlando & Dawn,1970,1970,182973,45,0.783,0.235,0.783,0.596,0.0,0.0427,-10.056,0.0676,127.576,4
Thank You (Falettinme Be Mice Elf Agin) - Single Version,Greatest Hits,Sly & The Family Stone,1970,1970-11-21,291320,53,0.9,0.296,0.9,0.709,0.00047,0.0863,-12.683,0.0636,105.822,4
Spill The Wine,The Best Of Eric Burdon & War,Eric Burdon,1970,1976-01-01,244306,49,0.845,0.47,0.845,0.447,0.0,0.0782,-11.897,0.049,119.457,4
Joy To The World,Naturally,Three Dog Night,1971,1970-01-01,220573,66,0.649,0.464,0.649,0.679,0.00121,0.339,-12.515,0.0316,126.867,4
Maggie May,Every Picture Tells A Story,Rod Stewart,1971,1971-01-01,350266,2,0.611,0.611,0.611,0.583,0.0853,0.0688,-10.428,0.0408,129.432,4
Reason To Believe,The Definitive Collection - 1969-1978,Rod Stewart,1971,2009-01-01,248920,0,0.349,0.699,0.349,0.584,0.00172,0.222,-9.663,0.0441,138.215,4
It's Too Late,Tapestry,Carole King,1971,1971,233173,69,0.45,0.498,0.45,0.441,0.00562,0.133,-12.718,0.0352,208.282,4
One Bad Apple,Osmonds,The Osmonds,1971,1970-11-14,164973,35,0.6,0.382,0.6,0.567,0.0,0.213,-7.163,0.0398,101.041,4
How Can You Mend A Broken Heart,Trafalgar,Bee Gees,1971,1971-09,237826,59,0.335,0.548,0.335,0.262,0.0,0.0971,-13.832,0.0393,68.82,4
Go Away Little Girl,20th Century Masters: The Millennium Collection: Best of Donny Osmond,Donny Osmond,1971,2002-01-01,149160,23,0.316,0.76,0.316,0.39,0.000186,0.149,-11.472,0.0409,110.055,4
"Take Me Home, Country Roads - Rerecorded","The John Denver Collection, Vol. 1: Take Me Home Country Roads",John Denver,1971,1997-06-17,197813,6,0.255,0.546,0.255,0.43,1.87E-05,0.188,-12.564,0.0322,164.267,4
Just My Imagination (Running Away With Me),Sky's The Limit,The Temptations,1971,1971-01-01,228160,64,0.425,0.88,0.425,0.242,0.0118,0.195,-15.424,0.0267,92.472,4
Knock Three Times,The Definitive Collection,Tony Orlando & Dawn,1971,1973,180360,49,0.777,0.154,0.777,0.581,0.0,0.11,-10.129,0.0517,123.1,4
Me and Bobby McGee,Pearl (Legacy Edition),Janis Joplin,1971,1971-01-11,271333,72,0.453,0.302,0.453,0.464,5.96E-05,0.152,-10.96,0.0431,93.19,4
Tired of Being Alone,Gets Next to You,Al Green,1971,1971-08-14,172320,68,0.772,0.339,0.772,0.397,0.00541,0.0753,-8.585,0.0391,97.964,4
Smiling Faces Sometimes,The Undisputed Truth,The Undisputed Truth,1971,1971-07-03,198546,52,0.551,0.252,0.551,0.461,2.39E-06,0.0541,-11.778,0.0255,105.155,4
Treat Her Like A Lady,The Story Of Cornelius Brothers & Sister Rose,Cornelius Brothers & Sister Rose,1971,1996-01-01,160360,46,0.775,0.191,0.775,0.476,0.0,0.132,-8.539,0.0355,131.4,4
You've Got a Friend,Mud Slide Slim and the Blue Horizon,James Taylor,1971,1971,268706,65,0.695,0.681,0.695,0.282,0.0267,0.0767,-15.359,0.0295,91.681,4
Mr. Big Stuff,Mr. Big Stuff,Jean Knight,1971,1971,164560,64,0.886,0.29,0.886,0.491,2.46E-06,0.229,-12.589,0.171,93.236,4
Brown Sugar - 2009 Mix,Sticky Fingers (Remastered),The Rolling Stones,1971,1971-04-23,228666,70,0.633,0.219,0.633,0.934,0.00021,0.0592,-3.594,0.0344,128.606,4
Do You Know What I Mean,5th (Remastered),Lee Michaels,1971,1971-11-20,192022,49,0.788,0.131,0.788,0.865,1.58E-05,0.0238,-9.729,0.0575,109.081,4
The Night They Drove Old Dixie Down,Blessed Are...,Joan Baez,1971,1971,206066,56,0.564,0.558,0.564,0.357,0.0,0.233,-12.752,0.0326,129.242,4
What's Going On,What's Going On - 40th Anniversary (Super Deluxe),Marvin Gaye,1971,1971-05-21,232600,71,0.265,0.0991,0.265,0.824,0.0,0.359,-5.654,0.0991,203.206,4
The First Time Ever I Saw Your Face,First Take,Roberta Flack,1972,1969,260666,65,0.311,0.731,0.311,0.0264,0.00205,0.156,-21.644,0.037,120.653,4
Alone Again (Naturally),Back to Front,Gilbert O'Sullivan,1972,1972-01-01,217728,55,0.558,0.583,0.558,0.464,0.000133,0.159,-8.488,0.0354,171.762,4
American Pie,American Pie,Don McLean,1972,1971,516893,75,0.531,0.699,0.531,0.481,0.0,0.0842,-11.709,0.06,138.45,4
Without You,Everybody's Talkin': The Very Best of Harry Nilsson,Harry Nilsson,1972,1967,202026,0,0.441,0.556,0.441,0.212,5.52E-06,0.0578,-13.657,0.0287,65.311,4
The Candy Man,20th Century Masters: The Millennium Collection: Best Of Sammy Davis Jr.,Sammy Davis Jr.,1972,2002-01-01,192920,33,0.635,0.817,0.635,0.53,0.000108,0.341,-11.179,0.0333,131.188,4
I GOTCHA,"The Very Best of, Volume 2.",Joe Tex,1972,1969-01-01,148813,42,0.84,0.182,0.84,0.856,0.000297,0.306,-11.277,0.328,93.41,4
Lean on Me,Still Bill,Bill Withers,1972,1972-05-01,258834,72,0.619,0.782,0.619,0.22,1.19E-05,0.124,-13.843,0.0667,75.16,4
Baby Don't Get Hooked on Me,Baby Don't Get Hooked On Me,Mac Davis,1972,1972-09-09,183933,51,0.495,0.26,0.495,0.307,5.21E-05,0.103,-18.168,0.0403,80.97,4
Brand New Key,Beautiful People: The Greatest Hits of Melanie,Melanie,1972,1999-07-01,144866,52,0.667,0.817,0.667,0.412,0.0,0.107,-7.544,0.0353,83.816,4
Daddy Don't You Walk So Fast - Re-Recorded In Stereo,The Best Of Wayne Newton Now,Wayne Newton,1972,1990-04-23,198666,28,0.472,0.467,0.472,0.503,0.0,0.155,-10.018,0.0272,152.728,4
Let's Stay Together,Let's Stay Together,Al Green,1972,1972,199396,75,0.756,0.57,0.756,0.397,0.0115,0.0542,-10.701,0.0522,101.985,4
Brandy (You're a Fine Girl),Looking Glass,Looking Glass,1972,1972,186826,73,0.716,0.396,0.716,0.625,1.97E-05,0.134,-11.369,0.0601,125.276,4
Oh Girl,The Ultimate Chi-Lites,The Chi-Lites,1972,2006,217520,44,0.422,0.296,0.422,0.486,0.0,0.108,-9.866,0.0282,134.587,4
My Ding-A-Ling - Live,20th Century Masters: The Millennium Collection: Best Of Chuck Berry,Chuck Berry,1972,1999-01-01,258426,0,0.707,0.792,0.707,0.509,0.0,0.545,-8.289,0.243,121.813,4
(If Loving You Is Wrong) I Don't Want to Be Right,(If Loving You Is Wrong) I Don't Want to Be Right,Luther Ingram,1972,1967,216800,46,0.502,0.283,0.502,0.451,0.0,0.154,-7.423,0.0438,140.474,4
Heart of Gold - 2009 Remaster,Harvest (2009 Remaster),Neil Young,1972,1972-02-14,187013,74,0.541,0.189,0.541,0.459,0.0274,0.099,-10.433,0.0297,171.165,4
"Betcha By Golly, Wow",The Very Best of the Stylistics ... And More!,The Stylistics,1972,2005-11-08,198986,0,0.373,0.535,0.373,0.505,0.0,0.327,-7.887,0.0285,141.146,4
I'll Take You There,The Very Best Of The Staple Singers,The Staple Singers,1972,2007-01-01,196826,66,0.846,0.0904,0.846,0.595,1.96E-06,0.063,-8.372,0.0439,101.632,4
Ben - Single Version,Ben,Michael Jackson,1972,1972-08-04,167386,53,0.435,0.911,0.435,0.161,0.000214,0.113,-10.84,0.0298,136.166,4
Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando) - Digitally Remastered 1998,Tuneweaving,Tony Orlando & Dawn,1973,1973-05-12,206253,51,0.559,0.283,0.559,0.615,0.0,0.0957,-12.27,0.0473,87.601,4
"Bad, Bad Leroy Brown",Photographs & Memories: His Greatest Hits,Jim Croce,1973,1974-01-01,180506,0,0.663,0.459,0.663,0.844,0.0,0.0701,-6.211,0.0421,148.013,4
Killing Me Softly with His Song,Killing Me Softly,Roberta Flack,1973,1973-01-01,286920,74,0.477,0.727,0.477,0.381,0.0,0.0615,-10.237,0.0342,121.568,4
Let's Get It On,Let's Get It On,Marvin Gaye,1973,1973-08-28,290960,60,0.55,0.0392,0.55,0.611,0.0,0.0631,-10.657,0.0443,168.512,4
My Love - 1993 Digital Remaster,Red Rose Speedway,Paul McCartney,1973,1973-04-30,247706,0,0.421,0.255,0.421,0.326,0.0142,0.0787,-15.031,0.0339,120.228,4
Why Me,16 Biggest Hits,Kris Kristofferson,1973,2007,207560,29,0.416,0.643,0.416,0.191,1.33E-06,0.116,-13.184,0.026,82.088,3
Crocodile Rock,Don't Shoot Me I'm Only The Piano Player,Elton John,1973,1973-01-22,235440,71,0.621,0.0263,0.621,0.8,1.51E-05,0.0591,-7.284,0.0344,149.91,4
Will It Go Round In Circles,Ultimate Collection: Billy Preston,Billy Preston,1973,2000-01-01,268893,46,0.677,0.284,0.677,0.871,3.02E-05,0.405,-7.997,0.0281,98.446,4
You're so Vain,No Secrets,Carly Simon,1973,1972,258411,75,0.659,0.157,0.659,0.678,6.69E-06,0.0784,-8.18,0.0313,106.186,4
Touch Me In The Morning,Touch Me In The Morning,Diana Ross,1973,1973-06-22,207413,52,0.355,0.454,0.355,0.615,0.0,0.0477,-7.21,0.0314,137.19,4
The Night The Lights Went Out In Georgia,The Night The Lights Went Out In Georgia (Deluxe Edition),Vicki Lawrence,1973,2014-01-01,220520,0,0.455,0.846,0.455,0.417,0.0,0.132,-13.446,0.168,172.015,4
Delta Dawn,Helen Reddy's Greatest Hits (And More),Helen Reddy,1973,1987-01-01,191093,35,0.566,0.582,0.566,0.659,0.0,0.286,-11.976,0.0893,78.729,4
Me and Mrs. Jones,360 Degrees Of Billy Paul,Billy Paul,1973,1972,285760,0,0.303,0.388,0.303,0.555,1.16E-06,0.468,-9.259,0.0482,67.322,4
Frankenstein,The Best Of Edgar Winter,Edgar Winter,1973,2002,285600,48,0.625,0.0595,0.625,0.733,0.88,0.164,-12.127,0.0927,95.211,4
Drift Away,Throwback Tunes: 70s,Various Artists,1973,2017-10-20,234300,55,0.508,0.325,0.508,0.46,0.0,0.648,-7.662,0.0404,75.836,4
Little Willy,Rare Studio Tracks,Sweet,1973,2010-05-01,192293,44,0.662,0.332,0.662,0.772,1.22E-06,0.314,-7.135,0.0356,127.025,4
You Are The Sunshine Of My Life,Talking Book,Stevie Wonder,1973,1972-10-28,178200,71,0.519,0.823,0.519,0.46,5.97E-05,0.243,-14.53,0.0688,132.082,4
Half-Breed,Half-Breed,Cher,1973,1973-01-01,167533,43,0.646,0.524,0.646,0.467,0.0,0.329,-12.678,0.0325,102.704,4
The Way We Were,The Essential Barbra Streisand,Barbra Streisand,1974,2002-01-29,210026,43,0.265,0.883,0.265,0.338,0.00365,0.16,-11.109,0.033,138.372,3
Seasons In The Sun,Hits Of The 70s (100 Songs),Various Artists,1974,2009-01-16,206560,0,0.638,0.68,0.638,0.561,2.12E-06,0.253,-9.837,0.0414,100.093,4
Love's Theme,The Best Of Love Unlimited Orchestra,The Love Unlimited Orchestra,1974,1995-01-01,248266,0,0.589,0.00166,0.589,0.61,0.808,0.265,-10.542,0.0325,97.072,4
Come and Get Your Love - Single Version,Come and Get Your Love,Redbone,1974,1973-11-01,205933,77,0.731,0.172,0.731,0.804,0.00028,0.0685,-7.621,0.0473,107.383,4
Dancing Machine,Dancing Machine,The Jackson 5,1974,1974-09-05,161813,56,0.776,0.133,0.776,0.794,2.35E-05,0.689,-7.722,0.0723,109.277,4
The Loco-Motion - Remastered 2002,Shinin' On (Remastered 2002 / Expanded Edition),Grand Funk Railroad,1974,1974-03-01,165800,49,0.456,0.375,0.456,0.933,0.0,0.563,-5.212,0.153,125.051,4
TSOP (The Sound of Philadelphia) (feat. The Three Degrees),End of Phase I - A Collection of Greatest Hits,MFSB,1974,1977-11-13,212106,26,0.723,0.0739,0.723,0.853,0.226,0.0979,-8.296,0.0295,114.268,4
The Streak,Greatest Hits - Original Recordings,Ray Stevens,1974,2014-04-22,197733,34,0.685,0.647,0.685,0.521,0.0,0.918,-14.33,0.295,119.813,4
Bennie And The Jets - Remastered 2014,Goodbye Yellow Brick Road (Remastered),Elton John,1974,1973-10-05,322548,73,0.665,0.259,0.665,0.673,7.62E-06,0.497,-7.95,0.0493,132.642,4
One Hell of a Woman,Greatest Hits,Mac Davis,1974,1972,170388,11,0.665,0.277,0.665,0.457,0.000124,0.0888,-15.16,0.041,120.175,4
Until You Come Back to Me (That's What I'm Gonna Do),Spanish Harlem,Aretha Franklin,1974,1998-03-17,206213,44,0.68,0.624,0.68,0.54,0.000908,0.116,-9.831,0.0275,94.548,4
Jungle Boogie,Wild And Peaceful,Kool & The Gang,1974,1973-09,186533,63,0.808,0.115,0.808,0.85,0.000109,0.316,-8.772,0.0868,106.855,4
Midnight at the Oasis,Rhino Hi-Five: Maria Muldaur,Maria Muldaur,1974,2005-07-19,224986,35,0.663,0.093,0.663,0.512,6.78E-06,0.327,-9.557,0.0273,99.388,4
You Make Me Feel Brand New,The Very Best of the Stylistics ... And More!,The Stylistics,1974,2005-11-08,329720,0,0.454,0.85,0.454,0.383,2.85E-05,0.11,-8.186,0.0247,75.929,4
Show and Tell,Show and Tell: The Best of Al Wilson,Al Wilson,1974,1973,207986,46,0.37,0.303,0.37,0.418,0.0,0.0832,-11.305,0.0266,177.576,4
Rock On,Rock On,David Essex,1974,1973,203917,47,0.676,0.723,0.676,0.292,0.00189,0.433,-14.448,0.34,74.798,4
Sunshine On My Shoulders,"Poems, Prayers and Promises",John Denver,1974,1971,311893,61,0.322,0.915,0.322,0.168,0.000223,0.117,-13.893,0.0336,146.68,4
Sideshow,Blue Magic,Blue Magic,1974,1974,251520,49,0.586,0.837,0.586,0.337,0.0,0.628,-13.165,0.0347,133.229,4
Hooked on a Feeling,Hooked On A Feeling,Blue Swede,1974,1973,172866,75,0.547,0.261,0.547,0.82,0.0,0.3,-6.728,0.0805,118.208,4
Love Will Keep Us Together,Greatest Hits,Captain & Tennille,1975,1977-01-01,206800,50,0.681,0.317,0.681,0.484,0.0,0.121,-13.67,0.0348,129.733,4
