Year,Std of length,Std of Danceability,Std of Energy,Std of Instrumentalness,Std of Acousticness,Std of Liveness,Std of Loudness,Std of Speechiness,Std of Tempo,Std of Time signature
1970,40017.62649,0.180483755,0.196961331,0.002819576,0.237727272,0.14798368,3.031845653,0.037085095,18.40258474,0
1971,47913.28225,0.193127576,0.192563455,0.019517679,0.22757682,0.091906895,3.027957715,0.033059239,35.71714762,0
1972,79111.84414,0.153611875,0.186409118,0.006647678,0.253493694,0.125286061,3.632599833,0.079591013,31.09647903,0
1973,41638.85101,0.114175247,0.188881304,0.207246416,0.254615957,0.172258416,2.842646799,0.034991398,31.87573913,0.23570226
1974,50857.6148,0.153992082,0.222913431,0.189574723,0.315667368,0.244297048,2.881819473,0.09032176,24.46578166,0.229415734
1975,43915.20542,0.116236725,0.184354378,0.03654839,0.311308117,0.086794506,3.953386342,0.014285992,18.43796714,0.223606798
1976,61785.97979,0.156675486,0.226886449,0.231247211,0.222860065,0.050320086,3.424481897,0.01752674,22.39254598,0.307793506
1977,44915.31035,0.138839594,0.157551848,0.086622247,0.295550409,0.169678677,2.399224425,0.012641547,17.47568193,0.229415734
1978,46839.55347,0.142400695,0.19479986,0.013303595,0.283422628,0.122644538,4.232121098,0.027686407,29.24667901,0.307793506
1979,89327.49537,0.111394262,0.136385059,0.084695692,0.225641465,0.173521726,2.534708771,0.011130229,17.72095697,0.223606798
1980,41319.60881,0.184766275,0.181448498,0.102595578,0.267204628,0.089958488,2.6995899,0.030004096,26.79044565,0.223606798
1981,36593.44008,0.151935101,0.178599293,0.030453628,0.238227359,0.147791916,2.653987887,0.017559211,25.70832933,0
1982,45793.34253,0.163177946,0.144625251,0.088937561,0.214514637,0.14928326,2.949456728,0.018555306,25.84047118,0
1983,71402.14757,0.130868797,0.142642533,0.085668428,0.21557909,0.140614849,2.549854433,0.013182444,19.53531591,0
1984,28940.96025,0.116240676,0.202968983,0.004896261,0.140469784,0.169436139,3.202093305,0.017387061,29.8001453,0
1985,47821.62691,0.099728724,0.183946503,0.076703882,0.098018136,0.084013566,3.413715295,0.010398765,27.15586896,0
1986,40294.0847,0.146916573,0.200779563,0.016320951,0.24720905,0.154349522,3.09401174,0.014914295,18.75619047,0.229415734
1987,35031.14002,0.144506884,0.186080515,0.068867744,0.265043423,0.183335602,3.444882891,0.023564525,26.55844759,0.223606798
1988,54813.44898,0.16450068,0.232893508,0.038197333,0.205647824,0.120475744,3.301848242,0.025081114,26.33983802,0.315301768
1989,27643.64769,0.13592738,0.195996046,0.011840192,0.2461088,0.11279228,2.697729249,0.021533041,28.90297486,0
1990,33758.25913,0.157932122,0.18624062,0.001190285,0.227072821,0.144317963,2.526136936,0.040229892,27.9128316,0.223606798
1991,52638.04688,0.121491119,0.244436495,0.120941825,0.25314817,0.120165368,2.680389651,0.023557299,27.64153351,0.223606798
1992,78971.09524,0.14797265,0.204210025,0.04971788,0.251282906,0.194788499,3.094777286,0.069762563,24.72432438,0.223606798
1993,48774.42031,0.172392063,0.250188385,0.10772599,0.304734098,0.221629941,3.479302546,0.066609236,24.28910032,0
1994,39803.81368,0.141832221,0.171043885,0.086866295,0.290122493,0.053642091,2.718078103,0.05017724,35.6868691,0.307793506
1995,39530.93743,0.109460591,0.199377043,0.003338515,0.256681705,0.14728536,2.573910097,0.028897352,25.78301768,0.223606798
1996,46300.21671,0.169400949,0.1747788,0.002160123,0.301279731,0.244490754,1.769503923,0.065822856,32.26587021,0.223606798
1997,42183.87164,0.141146583,0.245708229,0.001842285,0.316226799,0.074840856,2.409180033,0.050417294,25.26841422,0
1998,51587.30877,0.131688418,0.181021742,0.026285943,0.215560656,0.191794095,2.15509991,0.020395265,34.03707025,0
1999,36872.70291,0.105890509,0.182039462,0.00111242,0.203285195,0.132200838,2.774436164,0.078503641,31.9510887,0.307793506
2000,27991.73742,0.107461364,0.171904342,0.019524929,0.126957297,0.120437323,2.120209282,0.057215166,22.0036138,0
2001,32730.9801,0.12482181,0.111026917,0.027926824,0.150647425,0.103440848,1.718591114,0.082917169,33.69353897,0.394034463
2002,34770.42835,0.165778038,0.135886408,3.74E-05,0.149412878,0.080106214,1.322286298,0.118487583,33.63963591,0
2003,43721.9328,0.168231931,0.142854647,8.33E-05,0.180316077,0.180396477,1.719921775,0.113844764,24.78724534,0.229415734
2004,24632.43074,0.18293412,0.19281854,0.000258221,0.237800686,0.086349316,2.071123226,0.115876644,33.37184836,0.223606798
2005,26534.17177,0.191999856,0.167162976,0.006840338,0.094488346,0.22658652,2.30914476,0.121763675,22.48003588,0.324442842
2006,28984.27113,0.137371222,0.146341445,0.012882564,0.168215874,0.130291452,1.827001324,0.091752289,33.474725,0
2007,29932.26857,0.162709452,0.152509007,0.167909105,0.209675318,0.141201288,2.079305524,0.145886515,26.84342636,0
2008,28485.64087,0.111191383,0.113530427,0.000920789,0.102265296,0.119789548,1.568331158,0.074243471,23.61539361,0
2009,41825.5274,0.173041606,0.101336126,0.000387815,0.13137364,0.138367713,1.181233383,0.084404939,29.05997151,0
2010,31411.33222,0.071715428,0.101720981,0.000335385,0.103344789,0.184101615,1.097519801,0.093688973,20.06565852,0
2011,18972.16914,0.054509777,0.098373015,0.025698991,0.088292112,0.167731615,1.301041004,0.058303725,14.46596828,0
2012,23748.98471,0.10975354,0.136916215,0.010969392,0.128721393,0.102761501,1.566898998,0.08842402,26.02404114,0
2013,35826.30013,0.118152043,0.188812522,0.000472548,0.315405537,0.194340286,2.03766914,0.0679788,30.06238797,0
2014,27872.70408,0.135091626,0.209943219,0.028618967,0.27379306,0.119340891,1.670864393,0.059910384,24.35352131,0.223606798
2015,29138.63868,0.113787475,0.139639913,0.000274458,0.18245529,0.123354756,1.429636892,0.039189062,27.21430849,0.223606798
2016,27113.41279,0.086453882,0.161533148,0.0276631,0.199192761,0.10971682,1.439071333,0.124860467,25.48204903,0
2017,41746.21218,0.129961239,0.112271886,0.005282464,0.206971907,0.037248368,1.509603255,0.105019672,30.61173483,0
2018,26533.87055,0.095027918,0.127601961,0.000832117,0.16320297,0.133970389,1.426305385,0.044128865,26.65480007,0.223606798
2019,35360.43823,0.105657478,0.148826427,0.078703509,0.18939962,0.053204925,2.449085976,0.107382552,24.11509065,0